nama_sekolah;npsn;nss;npwp;alamat;desa;kecamatan;kabupaten;provinsi;tahun_berdiri;nomor_sk_pendirian;tgl_sk_pendirian;status_sekolah;nama_penyelenggara_yayasan;alamat_penyelenggara_yayasan;sk_pendirian_yayasan;gedung_sekolah;akreditasi_sekolah;status_tanah_sekolah;luas_tanah_sekolah;email_sekolah;created_at;updated_at
TK NEGERI SISAR MATITI;70055253;;;;;;;;;;;;;;;;;;;;;
TK PGRI MEYADO;70047371;;;;;;;;;;;;;;;;;;;;;
TK AISYIYAH BUSTANUL ATHFAL 2 BINTUNI;70047496;;;;;;;;;;;;;;;;;;;;;
TK YUTI TISAY;70048244;;;;;;;;;;;;;;;;;;;;;
SD LUQMAN AL HAKIM;70053505;;;;;;;;;;;;;;;;;;;;;
SMA NEGERI KURI;70050919;;;;;;;;;;;;;;;;;;;;;
SD NEGERI 4 BINTUNI;70049978;;;;;;;;;;;;;;;;;;;;;
KB AS-SYAFI’IYAH;70051247;;;;;;;;;;;;;;;;;;;;;
KB YPK SION TEMBUNI;70033680;;;;;;;;;;;;;;;;;;;;;
SMP ADVENT TELUK BINTUNI;70055535;;;;;;;;;;;;;;;;;;;;;
SD ISLAM TERPADU AT-TAQWA;70054877;;;;;;;;;;;;;;;;;;;;;
TK NEGERI PRISKA PRISCILLIA;70050993;;;;;;;;;;;;;;;;;;;;;
SD NEGERI REFIDESO;70056326;;;;;;;;;;;;;;;;;;;;;
SMP NEGERI 4 BINTUNI;70049977;;;;;;;;;;;;;;;;;;;;;
KB KARTINI II WERIAGAR;70025706;;;;;;;;;;;;;;;;;;;;;
KB SANTA THERESIA SAENGGA;70035468;;;;;;;;;;;;;;;;;;;;;
